Nphotons,Cm,Ch,Bm,Bh,T,sR,sG,sB,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
10000,0.2,0.1,0.5,0.75,74.386,50.451,37.92,0.15,0.0253228,0.0265673,0.0267918,0.0286186,0.0287793,0.0292956,0.0308906,0.0320981,0.0326791,0.0348032,0.0349948,0.034666,0.0357419,0.0382823,0.04101,0.0435126,0.0491002,0.0507627,0.0523935,0.0548721,0.0598504,0.0617294,0.0647625,0.0665074,0.0668417,0.065913,0.0686248,0.0692629,0.0689895,0.0681901,0.0717969,0.0699613,0.0737013,0.0714913,0.0745003,0.0747061,0.0764593,0.0776756,0.0829198,0.081709,0.084688,0.0872448,0.093324,0.0978454,0.116479,0.133936,0.147848,0.172029,0.187485,0.202768,0.211537,0.223911,0.229966,0.241947,0.25224,0.260541,0.264902,0.276288,0.283987,0.296623,0.306516
20000,0.2,0.1,0.5,0.75,74.122,50.283,37.618,0.15,0.0257419,0.0263219,0.0267606,0.0283759,0.0283279,0.029191,0.0305535,0.0314234,0.0321701,0.0342786,0.0342922,0.0346804,0.03596,0.0376807,0.0401262,0.0440309,0.0475272,0.051142,0.0530498,0.055829,0.0579225,0.0611912,0.0642133,0.0648919,0.066997,0.0664568,0.0677499,0.0680268,0.0695342,0.0692724,0.0703429,0.0698987,0.070149,0.0719206,0.0732705,0.0755533,0.0742829,0.0744022,0.0811089,0.0818601,0.08431,0.0880556,0.0923855,0.10062,0.116314,0.137026,0.153964,0.170905,0.187613,0.199975,0.211867,0.221374,0.230352,0.242354,0.251028,0.261755,0.267055,0.27621,0.28342,0.29536,0.307217
30000,0.2,0.1,0.5,0.75,74.052,50.52,37.756,0.15,0.0267334,0.0267993,0.0277663,0.0281812,0.0294679,0.0293853,0.0303183,0.0318028,0.0312013,0.0328852,0.0343344,0.0357666,0.0374542,0.037862,0.0411539,0.0440236,0.0468711,0.0509822,0.0539167,0.0560654,0.0580453,0.0609991,0.0633333,0.0651315,0.0667053,0.0665335,0.0688577,0.0686088,0.0699442,0.0700567,0.071495,0.0710816,0.0711086,0.0720536,0.0730956,0.0746361,0.0753054,0.0764817,0.0811257,0.0819202,0.0844005,0.0874658,0.0921181,0.101639,0.116488,0.135736,0.15403,0.17253,0.186394,0.200778,0.211861,0.222027,0.233464,0.244023,0.252919,0.258743,0.268545,0.277664,0.287224,0.296563,0.306083
40000,0.2,0.1,0.5,0.75,74.608,51.192,38.243,0.15,0.0257295,0.0268854,0.0279079,0.0287057,0.0291684,0.0302214,0.0311958,0.0324754,0.0328034,0.0344384,0.0356207,0.0365839,0.0374603,0.039653,0.0416897,0.0451739,0.0486724,0.0515309,0.053557,0.056811,0.0595615,0.0623821,0.0645284,0.0661906,0.0673518,0.0683688,0.0689057,0.0701126,0.0705696,0.0708546,0.0708635,0.0696816,0.0710018,0.0710201,0.0730063,0.0751706,0.0763954,0.0777496,0.079914,0.0820642,0.0843079,0.0874802,0.0923942,0.100399,0.118705,0.136844,0.152101,0.171389,0.186543,0.201686,0.212985,0.223486,0.232682,0.241634,0.251678,0.260834,0.267243,0.276201,0.287382,0.297344,0.306267
50000,0.2,0.1,0.5,0.75,74.341,50.717,38.141,0.15,0.0259975,0.0269178,0.0275493,0.0287078,0.0292001,0.0303598,0.0308501,0.0319177,0.0327599,0.0336459,0.0343808,0.0362872,0.0373691,0.0387228,0.0411375,0.0446173,0.0472626,0.0507009,0.0532551,0.0567825,0.058929,0.0627689,0.0638035,0.0651713,0.0666161,0.0673169,0.0681022,0.0683899,0.0693823,0.0693861,0.0707951,0.0713237,0.0703129,0.0711426,0.0714968,0.0741335,0.076215,0.0785376,0.0791275,0.0819827,0.0839278,0.0865961,0.0915243,0.100392,0.117948,0.135551,0.153259,0.170928,0.186894,0.200152,0.212878,0.223255,0.234715,0.244077,0.252501,0.258708,0.266541,0.277292,0.284967,0.295165,0.305681
60000,0.2,0.1,0.5,0.75,74.019,50.649,38.08,0.15,0.0258192,0.0260848,0.0271772,0.0284701,0.0291045,0.0296779,0.0311622,0.0321235,0.0331389,0.0337924,0.0349781,0.0360562,0.0366297,0.0389613,0.0408306,0.0441069,0.0477851,0.050812,0.0531411,0.0559612,0.0581305,0.0615851,0.0635197,0.0650238,0.06717,0.0672892,0.0677514,0.0683235,0.0689258,0.0697558,0.0690956,0.0709357,0.0701841,0.0704701,0.0710966,0.0732616,0.0755871,0.0789273,0.0794804,0.0815616,0.0839587,0.0874253,0.0926845,0.100606,0.116573,0.135146,0.153648,0.17107,0.186545,0.20095,0.21206,0.222106,0.232658,0.242142,0.250318,0.258356,0.26818,0.276184,0.287274,0.296949,0.306994
70000,0.2,0.1,0.5,0.75,74.329,50.618,37.949,0.15,0.0256644,0.0263516,0.0270771,0.0278848,0.0289556,0.0299412,0.0309111,0.0320066,0.0329618,0.0338459,0.0349372,0.0356885,0.0371844,0.0387235,0.04076,0.0438237,0.0474757,0.0507695,0.0535698,0.0560253,0.0592024,0.0622735,0.0642792,0.0654872,0.0662437,0.0674892,0.0682073,0.067834,0.0694047,0.069421,0.0703664,0.0694407,0.0709239,0.070662,0.0711454,0.0731889,0.0753131,0.0773119,0.0791923,0.0818207,0.0831808,0.0869724,0.0913636,0.100605,0.117296,0.136024,0.154164,0.170584,0.186594,0.202661,0.212848,0.223631,0.233833,0.242281,0.25267,0.258538,0.267129,0.275727,0.284341,0.295034,0.304345
80000,0.2,0.1,0.5,0.75,74.107,50.463,37.759,0.15,0.0255819,0.0264473,0.0273005,0.0280885,0.0288985,0.0294889,0.0303758,0.0317168,0.032587,0.0333516,0.0345317,0.0356254,0.0370853,0.038311,0.0407159,0.0439228,0.0476155,0.0499026,0.0531348,0.0560042,0.0584825,0.0613245,0.0638657,0.0653503,0.066752,0.0673451,0.0686085,0.069041,0.069774,0.0693114,0.0708765,0.0706525,0.0706755,0.0714027,0.072246,0.0746398,0.0759393,0.0785582,0.0790983,0.0810694,0.0846336,0.0878014,0.0914804,0.100399,0.117376,0.138122,0.154224,0.171776,0.188018,0.200767,0.213832,0.223534,0.233999,0.242342,0.250536,0.261187,0.269286,0.277017,0.28571,0.295454,0.306898
90000,0.2,0.1,0.5,0.75,74.468,50.751,37.96,0.15,0.0254242,0.0262197,0.0270183,0.0282963,0.0290678,0.0299143,0.0310057,0.0319344,0.0326638,0.0336805,0.0346889,0.0362246,0.0372813,0.0385265,0.0410521,0.0447233,0.0475375,0.0511353,0.0534133,0.0559641,0.059657,0.0625362,0.0642137,0.0656859,0.06701,0.0677615,0.0676355,0.068943,0.0699887,0.0703376,0.0708281,0.0702425,0.0717556,0.0715774,0.0726506,0.0738896,0.075496,0.0769241,0.0794356,0.0820206,0.0842231,0.0870579,0.0905246,0.10121,0.115794,0.135294,0.153045,0.17136,0.187489,0.201965,0.212616,0.223618,0.233884,0.244713,0.251296,0.259702,0.267877,0.277267,0.287846,0.296701,0.307254
